"","author","title","type","start","end","kind","words"
"86","Stoker, Bram","Dracula","sentence",9178,9308,NA,"This could not be true because up to then he had understood it perfectly at least he answered my questions exactly as if he did"
"87","Stoker, Bram","Dracula","sentence",9310,9409,NA,"He and his wife the old lady who had received me looked at each other in a frightened sort of way"
"88","Stoker, Bram","Dracula","sentence",9411,9492,NA,"He mumbled out that the money had been sent in a letter and that was all he knew"
"89","Stoker, Bram","Dracula","sentence",9494,9694,NA,"When I asked him if he knew Count Dracula and could tell me anything of his castle both he and his wife crossed themselves and saying that they knew nothing at all simply refused to speak further"
"90","Stoker, Bram","Dracula","sentence",9696,9834,NA,"It was so near the time of starting that I had no time to ask any one else for it was all very mysterious and not by any means comforting"
"91","Stoker, Bram","Dracula","sentence",9837,9974,NA,"Just before I was leaving the old lady came up to my room and said in a very hysterical way  Must you go Oh young Herr must you go"
"92","Stoker, Bram","Dracula","sentence",9976,10001,NA,"She was in such an excited"
"93","Stoker, Bram","Dracula","entity",823,847,"person","Jonathan Harkers Journal"
"94","Stoker, Bram","Dracula","entity",861,897,"person","Jonathan Harkers Journal CHAPTER III"
"95","Stoker, Bram","Dracula","entity",900,936,"person","Jonathan Harkers Journal CHAPTER IV"
"96","Stoker, Bram","Dracula","entity",938,970,"person","Jonathan Harkers Journal CHAPTER"
"97","Stoker, Bram","Dracula","entity",1502,1539,"person","Jonathan Harkers Journal CHAPTER XXI"
"98","Stoker, Bram","Dracula","entity",3833,3845,"person","Count Dracula"
"99","Stoker, Bram","Dracula","entity",8322,8336,"person","Jonathan Harker"
"100","Stoker, Bram","Dracula","entity",9522,9534,"person","Count Dracula"
"101","Stoker, Bram","Dracula","entity",252,259,"location","NEW YORK"
"102","Stoker, Bram","Dracula","entity",382,405,"location","United States of America"
"103","Stoker, Bram","Dracula","entity",1689,1691,"location","Van"
"104","Stoker, Bram","Dracula","entity",1907,1912,"location","Munich"
"105","Stoker, Bram","Dracula","entity",1953,1958,"location","Vienna"
"106","Stoker, Bram","Dracula","entity",3093,3098,"location","London"
"107","Stoker, Bram","Dracula","entity",3524,3533,"location","Carpathian"
"108","Stoker, Bram","Dracula","entity",3593,3598,"location","Europe"
"109","Stoker, Bram","Dracula","entity",4203,4207,"location","North"
"110","Stoker, Bram","Dracula","entity",5648,5652,"location","China"
"111","Stoker, Bram","Dracula","entity",6236,6241,"location","France"
"112","Stoker, Bram","Dracula","entity",6247,6253,"location","Germany"
"113","Stoker, Bram","Dracula","entity",8810,8815,"location","London"
"114","Stoker, Bram","Dracula","sentence",1,144,NA,"d state that she seemed to have lost her grip of what German she knew and mixed it all up with some other language which I did not know at all"
"115","Stoker, Bram","Dracula","sentence",146,200,NA,"I was just able to follow her by asking many questions"
"116","Stoker, Bram","Dracula","sentence",202,334,NA,"When I told her that I must go at once and that I was engaged on important business she asked again  Do you know what day it is"
"117","Stoker, Bram","Dracula","sentence",336,376,NA,"I answered that it was the fourth of May"
"118","Stoker, Bram","Dracula","sentence",378,425,NA,"She shook her head as she said again  Oh yes"
"119","Stoker, Bram","Dracula","sentence",427,438,NA,"I know that"
"120","Stoker, Bram","Dracula","sentence",440,484,NA,"I know that but do you know what day it is"
"121","Stoker, Bram","Dracula","sentence",486,574,NA,"On my saying that I did not understand she went on  It is the eve of St Georges Day"
"122","Stoker, Bram","Dracula","sentence",576,692,NA,"Do you not know that tonight when the clock strikes midnight all the evil things in the world will have full sway"
"123","Stoker, Bram","Dracula","sentence",694,753,NA,"Do you know where you are going and what you are going to"
"124","Stoker, Bram","Dracula","sentence",755,835,NA,"She was in such evident distress that I tried to comfort her but without effect"
"125","Stoker, Bram","Dracula","sentence",837,944,NA,"Finally she went down on her knees and implored me not to go at least to wait a day or two before starting"
"126","Stoker, Bram","Dracula","sentence",946,1003,NA,"It was all very ridiculous but I did not feel comfortable"
"127","Stoker, Bram","Dracula","sentence",1005,1091,NA,"However there was business to be done and I could allow nothing to interfere with it"
"128","Stoker, Bram","Dracula","sentence",1093,1227,NA,"I therefore tried to raise her up and said as gravely as I could that I thanked her but my duty was imperative and that I must go"
"129","Stoker, Bram","Dracula","sentence",1229,1315,NA,"She then rose and dried her eyes and taking a crucifix from her neck offered it to me"
"130","Stoker, Bram","Dracula","sentence",1317,1543,NA,"I did not know what to do for as an English Churchman I have been taught to regard such things as in some measure idolatrous and yet it seemed so ungracious to refuse an old lady meaning so well and in such a state of mind"
"131","Stoker, Bram","Dracula","sentence",1545,1685,NA,"She saw I suppose the doubt in my face for she put the rosary round my neck and said For your mothers sake and went out of the room"
"132","Stoker, Bram","Dracula","sentence",1687,1827,NA,"I am writing up this part of the diary whilst I am waiting for the coach which is of course late and the crucifix is still round my neck"
"133","Stoker, Bram","Dracula","sentence",1829,2004,NA,"Whether it is the old ladys fear or the many ghostly traditions of this place or the crucifix itself I do not know but I am not feeling nearly as easy in my mind as usual"
"134","Stoker, Bram","Dracula","sentence",2006,2079,NA,"If this book should ever reach Mina before I do let it bring my goodbye"
"135","Stoker, Bram","Dracula","sentence",2081,2101,NA,"Here comes the coach"
"136","Stoker, Bram","Dracula","sentence",2111,2152,NA,"                               5 May"
"137","Stoker, Bram","Dracula","sentence",2154,2164,NA,"The Castle"
"138","Stoker, Bram","Dracula","sentence",2166,2367,NA,"The grey of the morning has passed and the sun is high over the distant horizon which seems jagged whether with trees or hills I know not for it is so far off that big things and little are mixed"
"139","Stoker, Bram","Dracula","sentence",2369,2464,NA,"I am not sleepy and as I am not to be called till I awake naturally I write till sleep comes"
"140","Stoker, Bram","Dracula","sentence",2466,2619,NA,"There are many odd things to put down and lest who reads them may fancy that I dined too well before I left Bistritz let me put down my dinner exactly"
"141","Stoker, Bram","Dracula","sentence",2621,2815,NA,"I dined on what they called robber steakbits of bacon onion and beef seasoned with red pepper and strung on sticks and roasted over the fire in the simple style of the London cats meat"
"142","Stoker, Bram","Dracula","sentence",2817,2926,NA,"The wine was Golden Mediasch which produces a queer sting on the tongue which is however not disagreeable"
"143","Stoker, Bram","Dracula","sentence",2928,2984,NA,"I had only a couple of glasses of this and nothing else"
"144","Stoker, Bram","Dracula","sentence",2987,3085,NA,"When I got on the coach the driver had not taken his seat and I saw him talking with the landlady"
"145","Stoker, Bram","Dracula","sentence",3087,3348,NA,"They were evidently talking of me for every now and then they looked at me and some of the people who were sitting on the bench outside the doorwhich they call by a name meaning wordbearercame and listened and then looked at me most of them pityingly"
"146","Stoker, Bram","Dracula","sentence",3350,3526,NA,"I could hear a lot of words often repeated queer words for there were many nationalities in the crowd so I quietly got my polyglot dictionary from my bag and looked them out"
"147","Stoker, Bram","Dracula","sentence",3528,3790,NA,"I must say they were not cheering to me for amongst them were OrdogSatan pokolhell stregoicawitch vrolok and vlkoslakboth of which mean the same thing one being Slovak and the other Servian for something that is either werewolf or vampire"
"148","Stoker, Bram","Dracula","sentence",3792,4017,NA," Mem  I must ask the Count about these superstitions  When we started the crowd round the inn door which had by this time swelled to a considerable size all made the sign of the cross and pointed two fingers towards me"
"149","Stoker, Bram","Dracula","sentence",4019,4221,NA,"With some difficulty I got a fellowpassenger to tell me what they meant he would not answer at first but on learning that I was English he explained that it was a charm or guard against the evil eye"
"150","Stoker, Bram","Dracula","sentence",4223,4423,NA,"This was not very pleasant for me just starting for an unknown place to meet an unknown man but every one seemed so kindhearted and so sorrowful and so sympathetic that I could not but be touched"
"151","Stoker, Bram","Dracula","sentence",4425,4706,NA,"I shall never forget the last glimpse which I had of the innyard and its crowd of picturesque figures all crossing themselves as they stood round the wide archway with its background of rich foliage of oleander and orange trees in green tubs clustered in the centre of the yard"
"152","Stoker, Bram","Dracula","sentence",4708,4912,NA,"Then our driver whose wide linen drawers covered the whole front of the boxseatgotza they call themcracked his big whip over his four small horses which ran abreast and we set off on our journey"
"153","Stoker, Bram","Dracula","sentence",4915,5165,NA,"I soon lost sight and recollection of ghostly fears in the beauty of the scene as we drove along although had I known the language or rather languages which my fellowpassengers were speaking I might not have been able to throw them off so easily"
"154","Stoker, Bram","Dracula","sentence",5167,5342,NA,"Before us lay a green sloping land full of forests and woods with here and there steep hills crowned with clumps of trees or with farmhouses the blank gable end to the road"
"155","Stoker, Bram","Dracula","sentence",5344,5523,NA,"There was everywhere a bewildering mass of fruit blossomapple plum pear cherry and as we drove by I could see the green grass under the trees spangled with the fallen petals"
"156","Stoker, Bram","Dracula","sentence",5525,5786,NA,"In and out amongst these green hills of what they call here the Mittel Land ran the road losing itself as it swept round the grassy curve or was shut out by the straggling ends of pine woods which here and there ran down the hillsides like tongues of flame"
"157","Stoker, Bram","Dracula","sentence",5788,5865,NA,"The road was rugged but still we seemed to fly over it with a feverish haste"
"158","Stoker, Bram","Dracula","sentence",5867,5992,NA,"I could not understand then what the haste meant but the driver was evidently bent on losing no time in reaching Borgo Prund"
"159","Stoker, Bram","Dracula","sentence",5994,6112,NA,"I was told that this road is in summertime excellent but that it had not yet been put in order after the winter snows"
"160","Stoker, Bram","Dracula","sentence",6114,6269,NA,"In this respect it is different from the general run of roads in the Carpathians for it is an old tradition that they are not to be kept in too good order"
"161","Stoker, Bram","Dracula","sentence",6271,6457,NA,"Of old the Hospadars would not repair them lest the Turk should think that they were preparing to bring in foreign troops and so hasten the war which was always really at loading point"
"162","Stoker, Bram","Dracula","sentence",6460,6592,NA,"Beyond the green swelling hills of the Mittel Land rose mighty slopes of forest up to the lofty steeps of the Carpathians themselves"
"163","Stoker, Bram","Dracula","sentence",6594,6982,NA,"Right and left of us they towered with the afternoon sun falling full upon them and bringing out all the glorious colours of this beautiful range deep blue and purple in the shadows of the peaks green and brown where grass and rock mingled and an endless perspective of jagged rock and pointed crags till these were themselves lost in the distance where the snowy peaks rose grandly"
"164","Stoker, Bram","Dracula","sentence",6984,7131,NA,"Here and there seemed mighty rifts in the mountains through which as the sun began to sink we saw now and again the white gleam of falling water"
"165","Stoker, Bram","Dracula","sentence",7133,7344,NA,"One of my companions touched my arm as we swept round the base of a hill and opened up the lofty snowcovered peak of a mountain which seemed as we wound on our serpentine way to be right before us  Look"
"166","Stoker, Bram","Dracula","sentence",7346,7408,NA,"Isten szekGods seatand he crossed himself reverently"
"167","Stoker, Bram","Dracula","sentence",7411,7537,NA,"As we wound on our endless way and the sun sank lower and lower behind us the shadows of the evening began to creep round us"
"168","Stoker, Bram","Dracula","sentence",7539,7670,NA,"This was emphasised by the fact that the snowy mountaintop still held the sunset and seemed to glow out with a delicate cool pink"
"169","Stoker, Bram","Dracula","sentence",7672,7793,NA,"Here and there we passed Cszeks and Slovaks all in picturesque attire but I noticed that goitre was painfully prevalent"
"170","Stoker, Bram","Dracula","sentence",7795,7886,NA,"By the roadside were many crosses and as we swept by my companions all crossed themselves"
"171","Stoker, Bram","Dracula","sentence",7888,8096,NA,"Here and there was a peasant man or woman kneeling before a shrine who did not even turn round as we approached but seemed in the selfsurrender of devotion to have neither eyes nor ears for the outer world"
"172","Stoker, Bram","Dracula","sentence",8098,8307,NA,"There were many things new to me for instance hayricks in the trees and here and there very beautiful masses of weeping birch their white stems shining like silver through the delicate green of the leaves"
"173","Stoker, Bram","Dracula","sentence",8309,8461,NA,"Now and again we passed a leiterwagonthe ordinary peasants cartwith its long snakelike vertebra calculated to suit the inequalities of the road"
"174","Stoker, Bram","Dracula","sentence",8463,8679,NA,"On this were sure to be seated quite a group of homecoming peasants the Cszeks with their white and the Slovaks with their coloured sheepskins the latter carrying lancefashion their long staves with axe at end"
"175","Stoker, Bram","Dracula","sentence",8681,9021,NA,"As the evening fell it began to get very cold and the growing twilight seemed to merge into one dark mistiness the gloom of the trees oak beech and pine though in the valleys which ran deep between the spurs of the hills as we ascended through the Pass the dark firs stood out here and there against the background of latelying snow"
"176","Stoker, Bram","Dracula","sentence",9023,9476,NA,"Sometimes as the road was cut through the pine woods that seemed in the darkness to be closing down upon us great masses of greyness which here and there bestrewed the trees produced a peculiarly weird and solemn effect which carried on the thoughts and grim fancies engendered earlier in the evening when the falling sunset threw into strange relief the ghostlike clouds which amongst the Carpathians seem to wind ceaselessly through the valleys"
"177","Stoker, Bram","Dracula","sentence",9478,9577,NA,"Sometimes the hills were so steep that despite our drivers haste the horses could only go slowly"
"178","Stoker, Bram","Dracula","sentence",9579,9671,NA,"I wished to get down and walk up them as we do at home but the driver would not hear of it"
"179","Stoker, Bram","Dracula","sentence",9673,9938,NA,"No no he said you must not walk here the dogs are too fierce and then he added with what he evidently meant for grim pleasantryfor he looked round to catch the approving smile of the restand you may have enough of such matters before you go to sleep"
"180","Stoker, Bram","Dracula","sentence",9940,10001,NA,"The only stop he would make was a moments pause to light his "
"181","Stoker, Bram","Dracula","entity",558,567,"location","St George"
"182","Stoker, Bram","Dracula","entity",2037,2040,"location","Mina"
"183","Stoker, Bram","Dracula","entity",2798,2803,"location","London"
"184","Stoker, Bram","Dracula","sentence",2,7,NA,"lamps"
"185","Stoker, Bram","Dracula","sentence",10,176,NA,"When it grew dark there seemed to be some excitement amongst the passengers and they kept speaking to him one after the other as though urging him to further speed"
"186","Stoker, Bram","Dracula","sentence",178,303,NA,"He lashed the horses unmercifully with his long whip and with wild cries of encouragement urged them on to further exertions"
"187","Stoker, Bram","Dracula","sentence",305,427,NA,"Then through the darkness I could see a sort of patch of grey light ahead of us as though there were a cleft in the hills"
"188","Stoker, Bram","Dracula","sentence",429,574,NA,"The excitement of the passengers grew greater the crazy coach rocked on its great leather springs and swayed like a boat tossed on a stormy sea"
"189","Stoker, Bram","Dracula","sentence",576,592,NA,"I had to hold on"
"190","Stoker, Bram","Dracula","sentence",594,648,NA,"The road grew more level and we appeared to fly along"
"191","Stoker, Bram","Dracula","sentence",650,771,NA,"Then the mountains seemed to come nearer to us on each side and to frown down upon us we were entering on the Borgo Pass"
"192","Stoker, Bram","Dracula","sentence",773,1183,NA,"One by one several of the passengers offered me gifts which they pressed upon me with an earnestness which would take no denial these were certainly of an odd and varied kind but each was given in simple good faith with a kindly word and a blessing and that strange mixture of fearmeaning movements which I had seen outside the hotel at Bistritzthe sign of the cross and the guard against the evil eye"
"193","Stoker, Bram","Dracula","sentence",1185,1337,NA,"Then as we flew along the driver leaned forward and on each side the passengers craning over the edge of the coach peered eagerly into the darkness"
"194","Stoker, Bram","Dracula","sentence",1339,1498,NA,"It was evident that something very exciting was either happening or expected but though I asked each passenger no one would give me the slightest explanation"
"195","Stoker, Bram","Dracula","sentence",1500,1624,NA,"This state of excitement kept on for some little time and at last we saw before us the Pass opening out on the eastern side"
"196","Stoker, Bram","Dracula","sentence",1626,1721,NA,"There were dark rolling clouds overhead and in the air the heavy oppressive sense of thunder"
"197","Stoker, Bram","Dracula","sentence",1723,1840,NA,"It seemed as though the mountain range had separated two atmospheres and that now we had got into the thunderous one"
"198","Stoker, Bram","Dracula","sentence",1842,1923,NA,"I was now myself looking out for the conveyance which was to take me to the Count"
"199","Stoker, Bram","Dracula","sentence",1925,2013,NA,"Each moment I expected to see the glare of lamps through the blackness but all was dark"
"200","Stoker, Bram","Dracula","sentence",2015,2140,NA,"The only light was the flickering rays of our own lamps in which the steam from our harddriven horses rose in a white cloud"
"201","Stoker, Bram","Dracula","sentence",2142,2237,NA,"We could see now the sandy road lying white before us but there was on it no sign of a vehicle"
"202","Stoker, Bram","Dracula","sentence",2239,2331,NA,"The passengers drew back with a sigh of gladness which seemed to mock my own disappointment"
"203","Stoker, Bram","Dracula","sentence",2333,2563,NA,"I was already thinking what I had best do when the driver looking at his watch said to the others something which I could hardly hear it was spoken so quietly and in so low a tone I thought it was An hour less than the time"
"204","Stoker, Bram","Dracula","sentence",2565,2651,NA,"Then turning to me he said in German worse than my own  There is no carriage here"
"205","Stoker, Bram","Dracula","sentence",2653,2687,NA,"The Herr is not expected after all"
"206","Stoker, Bram","Dracula","sentence",2689,2780,NA,"He will now come on to Bukovina and return tomorrow or the next day better the next day"
"207","Stoker, Bram","Dracula","sentence",2782,2898,NA,"Whilst he was speaking the horses began to neigh and snort and plunge wildly so that the driver had to hold them up"
"208","Stoker, Bram","Dracula","sentence",2900,3082,NA,"Then amongst a chorus of screams from the peasants and a universal crossing of themselves a calèche with four horses drove up behind us overtook us and drew up beside the coach"
"209","Stoker, Bram","Dracula","sentence",3084,3203,NA,"I could see from the flash of our lamps as the rays fell on them that the horses were coalblack and splendid animals"
"210","Stoker, Bram","Dracula","sentence",3205,3321,NA,"They were driven by a tall man with a long brown beard and a great black hat which seemed to hide his face from us"
